date,Bus,Rail
2023-12-08,275431.0,1049987.0
2023-12-09,206742.0,717796.0
2023-12-10,205092.0,682212.0
2023-12-11,231026.0,859195.0
2023-12-12,265254.0,906004.0
2023-12-13,268984.0,902055.0
2023-12-14,264679.0,890657.0
2023-12-15,262781.0,908961.0
2023-12-16,199258.0,659451.0
2023-12-17,200242.0,620253.0
2023-12-18,252294.0,868883.0
2023-12-19,251058.0,893547.0
2023-12-20,254743.0,906713.0
2023-12-21,245818.0,890592.0
2023-12-22,240635.0,879264.0
2023-12-23,191485.0,735008.0
2023-12-24,189011.0,781380.0
2023-12-25,169279.0,677716.0
2023-12-26,222796.0,784646.0
2023-12-27,229109.0,819336.0
2023-12-28,227930.0,813716.0
2023-12-29,226063.0,809936.0
2023-12-30,183217.0,645582.0
2023-12-31,195795.0,884908.0
2024-01-01,179772.0,604151.0
2024-01-02,258714.0,866348.0
2024-01-03,262988.0,883846.0
2024-01-04,262490.0,872385.0
2024-01-05,260670.0,877460.0
2024-01-06,191385.0,577915.0
2024-01-07,181090.0,493680.0
2024-01-08,264161.0,877478.0
2024-01-09,266579.0,918607.0
2024-01-10,265869.0,923761.0
2024-01-11,264318.0,921452.0
2024-01-12,264565.0,939608.0
2024-01-13,193490.0,651111.0
2024-01-14,188033.0,556812.0
2024-01-15,262801.0,882787.0
2024-01-16,267583.0,921787.0
2024-01-17,273199.0,930918.0
2024-01-18,268341.0,924744.0
2024-01-19,270688.0,933362.0
2024-01-20,199305.0,629032.0
2024-01-21,189494.0,549905.0
2024-01-22,264183.0,905536.0
2024-01-23,264759.0,962408.0
2024-01-24,277644.0,1035183.0
2024-01-25,191219.0,642562.0
2024-01-26,252939.0,886104.0
2024-01-27,193839.0,622353.0
2024-01-28,185129.0,542533.0
2024-01-29,266052.0,911040.0
2024-01-30,265198.0,945096.0
2024-01-31,274215.0,971581.0
2024-02-01,223933.0,614212.0
2024-02-02,270199.0,912568.0
2024-02-03,207584.0,679140.0
2024-02-04,196061.0,581261.0
2024-02-05,271128.0,932608.0
2024-02-06,275714.0,974101.0
2024-02-07,281672.0,1003065.0
2024-02-08,263691.0,925939.0
2024-02-09,234892.0,781919.0
2024-02-10,225187.0,722505.0
2024-02-11,224575.0,722662.0
2024-02-12,188003.0,615541.0
