origin,destination,total_ridership,origin_label,destination_label,log_ridership
AG18: Ampang,MR01: KL Sentral,8150,Ampang,KL Sentral,3.9111576087399764
AG18: Ampang,MR04: Hang Tuah,12180,Ampang,Hang Tuah,4.085647288296856
AG18: Ampang,MR05: Imbi,6660,Ampang,Imbi,3.823474229170301
AG18: Ampang,MR06: Bukit Bintang,3939,Ampang,Bukit Bintang,3.5953859808091417
AG18: Ampang,SP15: Bandar Tasik Selatan,10918,Ampang,Bandar Tasik Selatan,4.038143089969942
KG06: Kota Damansara,AG04: PWTC,945,Kota Damansara,PWTC,2.975431808509263
KG06: Kota Damansara,AG06: Bandaraya,2129,Kota Damansara,Bandaraya,3.3281756614383227
KG06: Kota Damansara,AG07: Masjid Jamek,2294,Kota Damansara,Masjid Jamek,3.360593413565249
KG06: Kota Damansara,AG10: Pudu,1256,Kota Damansara,Pudu,3.0989896394011773
KG06: Kota Damansara,AG18: Ampang,1994,Kota Damansara,Ampang,3.2997251539756367
KG06: Kota Damansara,KG07: Surian,129114,Kota Damansara,Surian,5.110973335938743
KG06: Kota Damansara,KG08: Mutiara Damansara,41153,Kota Damansara,Mutiara Damansara,4.614401500203338
KG06: Kota Damansara,KG09: Bandar Utama,78302,Kota Damansara,Bandar Utama,4.893772855006486
KG06: Kota Damansara,KG10: TTDI,26531,Kota Damansara,TTDI,4.423753619612828
KG06: Kota Damansara,KG13: Pusat Bandar Damansara,19460,Kota Damansara,Pusat Bandar Damansara,4.289142835932333
KG06: Kota Damansara,KG14: Semantan,16204,Kota Damansara,Semantan,4.209622234511551
KG06: Kota Damansara,KG15: Muzium Negara,31529,Kota Damansara,Muzium Negara,4.498710196521166
KG06: Kota Damansara,KG16: Pasar Seni,9177,Kota Damansara,Pasar Seni,3.962700731704341
KG06: Kota Damansara,KG18: Bukit Bintang,34656,Kota Damansara,Bukit Bintang,4.539778434945227
KG06: Kota Damansara,KG20: Tun Razak Exchange,14688,Kota Damansara,Tun Razak Exchange,4.166962663857167
KG06: Kota Damansara,KG21: Cochrane,5506,Kota Damansara,Cochrane,3.7408362070573116
KG06: Kota Damansara,KG22: Maluri,8376,Kota Damansara,Maluri,3.923036668670786
KG06: Kota Damansara,KG25: Taman Mutiara,3098,Kota Damansara,Taman Mutiara,3.491081413423187
KG06: Kota Damansara,KG26: Taman Connaught,3008,Kota Damansara,Taman Connaught,3.4782778319196046
KG06: Kota Damansara,KG35: Kajang,7887,Kota Damansara,Kajang,3.896911840826025
KG06: Kota Damansara,KJ02: Taman Melati,1242,Kota Damansara,Taman Melati,3.0941215958405612
KG06: Kota Damansara,KJ03: Wangsa Maju,2465,Kota Damansara,Wangsa Maju,3.391816923613249
KG06: Kota Damansara,KJ04: Sri Rampai,1271,Kota Damansara,Sri Rampai,3.104145550554008
KG06: Kota Damansara,KJ09: Ampang Park,1880,Kota Damansara,Ampang Park,3.27415784926368
KG06: Kota Damansara,KJ10: KLCC,9285,Kota Damansara,KLCC,3.967781908075799
KG06: Kota Damansara,KJ13: Masjid Jamek,2278,Kota Damansara,Masjid Jamek,3.3575537197430814
KG06: Kota Damansara,KJ14: Pasar Seni,13388,Kota Damansara,Pasar Seni,4.12671570368574
KG06: Kota Damansara,KJ15: KL Sentral,722,Kota Damansara,KL Sentral,2.858537197569639
KG06: Kota Damansara,KJ16: Bank Rakyat Bangsar,2359,Kota Damansara,Bank Rakyat Bangsar,3.3727279408855955
